#------------------------------------------------------------------------------
# GPX input data file
# Created on:   2018-06-14 14:25:33
PROBLEM_NAME: AFIRO
#------------------------------------------------------------------------------
# objective_coef_index objective_coef_value
OBJECTIVE_START
1 -0.400000
12 -0.320000
16 -0.600000
28 -0.480000
31 10.000000
#------------------------------------------------------------------------------
# row_name row_sense row_rhs row_rngval
ROWS_START
R10 E 0.000000 0.000000
X05 L 80.000000 0.000000
X21 L 0.000000 0.000000
R12 E 0.000000 0.000000
R13 E 0.000000 0.000000
X17 L 80.000000 0.000000
X18 L 0.000000 0.000000
X19 L 0.000000 0.000000
X20 L 0.000000 0.000000
R19 E 0.000000 0.000000
R20 E 0.000000 0.000000
X27 L 500.000000 0.000000
X44 L 0.000000 0.000000
R22 E 0.000000 0.000000
R23 E 44.000000 0.000000
X40 L 500.000000 0.000000
X41 L 0.000000 0.000000
X42 L 0.000000 0.000000
X43 L 0.000000 0.000000
X45 L 0.000000 0.000000
X46 L 0.000000 0.000000
X47 L 0.000000 0.000000
X48 L 0.000000 0.000000
X49 L 0.000000 0.000000
X50 L 310.000000 0.000000
X51 L 300.000000 0.000000
R09 E 0.000000 0.000000
#------------------------------------------------------------------------------
# col_name col_type col_lower_bound col_upper_bound
COLUMNS_START
X01 C 0.000000 100000000000000000000.000000
X02 C 0.000000 100000000000000000000.000000
X03 C 0.000000 100000000000000000000.000000
X04 C 0.000000 100000000000000000000.000000
X06 C 0.000000 100000000000000000000.000000
X07 C 0.000000 100000000000000000000.000000
X08 C 0.000000 100000000000000000000.000000
X09 C 0.000000 100000000000000000000.000000
X10 C 0.000000 100000000000000000000.000000
X11 C 0.000000 100000000000000000000.000000
X12 C 0.000000 100000000000000000000.000000
X13 C 0.000000 100000000000000000000.000000
X14 C 0.000000 100000000000000000000.000000
X15 C 0.000000 100000000000000000000.000000
X16 C 0.000000 100000000000000000000.000000
X22 C 0.000000 100000000000000000000.000000
X23 C 0.000000 100000000000000000000.000000
X24 C 0.000000 100000000000000000000.000000
X25 C 0.000000 100000000000000000000.000000
X26 C 0.000000 100000000000000000000.000000
X28 C 0.000000 100000000000000000000.000000
X29 C 0.000000 100000000000000000000.000000
X30 C 0.000000 100000000000000000000.000000
X31 C 0.000000 100000000000000000000.000000
X32 C 0.000000 100000000000000000000.000000
X33 C 0.000000 100000000000000000000.000000
X34 C 0.000000 100000000000000000000.000000
X35 C 0.000000 100000000000000000000.000000
X36 C 0.000000 100000000000000000000.000000
X37 C 0.000000 100000000000000000000.000000
X38 C 0.000000 100000000000000000000.000000
X39 C 0.000000 100000000000000000000.000000
#------------------------------------------------------------------------------
# elem_in_row_index elem_in_col_index elem_value
ELEMENTS_START
0 0 -1.060000
0 3 1.000000
1 0 1.000000
2 1 -1.000000
2 12 1.400000
3 4 -1.000000
3 5 -1.000000
3 6 -1.000000
3 7 -1.000000
3 12 1.000000
3 13 1.000000
4 4 -1.060000
4 5 -1.060000
4 6 -0.960000
4 7 -0.860000
4 14 1.000000
5 4 1.000000
5 8 -1.000000
6 5 1.000000
6 9 -1.000000
7 6 1.000000
7 10 -1.000000
8 7 1.000000
8 11 -1.000000
9 15 -1.000000
9 16 1.000000
9 17 1.000000
9 18 1.000000
10 15 -0.430000
10 19 1.000000
11 15 1.000000
12 16 -1.000000
12 28 1.400000
13 20 -0.430000
13 21 -0.430000
13 22 -0.390000
13 23 -0.370000
13 30 1.000000
14 20 1.000000
14 21 1.000000
14 22 1.000000
14 23 1.000000
14 28 -1.000000
14 29 1.000000
14 31 1.000000
15 20 1.000000
15 24 -1.000000
16 21 1.000000
16 25 -1.000000
17 22 1.000000
17 26 -1.000000
18 23 1.000000
18 27 -1.000000
19 8 2.364000
19 9 2.386000
19 10 2.408000
19 11 2.429000
19 18 -1.000000
19 24 2.191000
19 25 2.219000
19 26 2.249000
19 27 2.279000
20 2 -1.000000
20 15 0.109000
21 13 -1.000000
21 20 0.109000
21 21 0.108000
21 22 0.108000
21 23 0.107000
22 0 0.301000
22 17 -1.000000
23 4 0.301000
23 5 0.313000
23 6 0.313000
23 7 0.326000
23 29 -1.000000
24 3 1.000000
24 19 1.000000
25 14 1.000000
25 30 1.000000
26 0 -1.000000
26 1 1.000000
26 2 1.000000
END_DATA
