#------------------------------------------------------------------------------
# GPX input data file
# Created on:   2018-06-22 12:51:19
PROBLEM_NAME: noswot
#------------------------------------------------------------------------------
# objective_coef_index objective_coef_value
OBJECTIVE_START
51 -1.000000
53 -1.000000
55 -1.000000
57 -1.000000
59 -1.000000
61 -1.000000
63 -1.000000
65 -1.000000
67 -1.000000
69 -1.000000
71 -1.000000
73 -1.000000
75 -1.000000
77 -1.000000
79 -1.000000
81 -1.000000
83 -1.000000
85 -1.000000
87 -1.000000
89 -1.000000
91 -1.000000
93 -1.000000
95 -1.000000
97 -1.000000
99 -1.000000
#------------------------------------------------------------------------------
# row_name row_sense row_rhs row_rngval
ROWS_START
c1 L 43.000000 0.000000
c2 L 0.000000 0.000000
c3 L 0.000000 0.000000
c4 L 0.000000 0.000000
c5 L 0.000000 0.000000
c6 L 0.000000 0.000000
c7 G 0.000000 0.000000
c8 L 0.000000 0.000000
c9 G 0.000000 0.000000
c10 L 0.000000 0.000000
c11 G 0.000000 0.000000
c12 L 0.000000 0.000000
c13 G 0.000000 0.000000
c14 L 0.000000 0.000000
c15 G 0.000000 0.000000
c16 L 0.000000 0.000000
c17 G 0.000000 0.000000
c18 G -21.000000 0.000000
c19 G 0.000000 0.000000
c20 G -21.000000 0.000000
c21 G 0.000000 0.000000
c22 G -21.000000 0.000000
c23 G 0.000000 0.000000
c24 G -21.000000 0.000000
c25 G 0.000000 0.000000
c26 G -21.000000 0.000000
c27 G 0.000000 0.000000
c28 G -21.000000 0.000000
c29 G 0.000000 0.000000
c30 G -21.000000 0.000000
c31 G 0.000000 0.000000
c32 G -21.000000 0.000000
c33 G 0.000000 0.000000
c34 G -21.000000 0.000000
c35 G 0.000000 0.000000
c36 G -21.000000 0.000000
c37 G 0.000000 0.000000
c38 G -21.000000 0.000000
c39 G 0.000000 0.000000
c40 G -21.000000 0.000000
c41 G 0.000000 0.000000
c42 G -21.000000 0.000000
c43 G 0.000000 0.000000
c44 G -21.000000 0.000000
c45 G 0.000000 0.000000
c46 G -21.000000 0.000000
c47 G 0.000000 0.000000
c48 G -21.000000 0.000000
c49 G 0.000000 0.000000
c50 G -21.000000 0.000000
c51 G 0.000000 0.000000
c52 G -21.000000 0.000000
c53 G 0.000000 0.000000
c54 G -21.000000 0.000000
c55 G 0.000000 0.000000
c56 G -21.000000 0.000000
c57 L 38.000000 0.000000
c58 L 0.000000 0.000000
c59 L 0.000000 0.000000
c60 L 0.000000 0.000000
c61 L 0.000000 0.000000
c62 L 0.000000 0.000000
c63 G 0.000000 0.000000
c64 L 0.000000 0.000000
c65 G 0.000000 0.000000
c66 L 0.000000 0.000000
c67 G 0.000000 0.000000
c68 L 0.000000 0.000000
c69 G 0.000000 0.000000
c70 L 0.000000 0.000000
c71 G 0.000000 0.000000
c72 L 0.000000 0.000000
c73 G 0.000000 0.000000
c74 G -21.000000 0.000000
c75 G 0.000000 0.000000
c76 G -21.000000 0.000000
c77 G 0.000000 0.000000
c78 G -21.000000 0.000000
c79 G 0.000000 0.000000
c80 G -21.000000 0.000000
c81 G 0.000000 0.000000
c82 G -21.000000 0.000000
c83 G 0.000000 0.000000
c84 G -21.000000 0.000000
c85 G 0.000000 0.000000
c86 G -21.000000 0.000000
c87 G 0.000000 0.000000
c88 G -21.000000 0.000000
c89 G 0.000000 0.000000
c90 G -21.000000 0.000000
c91 G 0.000000 0.000000
c92 G -21.000000 0.000000
c93 G 0.000000 0.000000
c94 G -21.000000 0.000000
c95 G 0.000000 0.000000
c96 G -21.000000 0.000000
c97 G 0.000000 0.000000
c98 G -21.000000 0.000000
c99 G 0.000000 0.000000
c100 G -21.000000 0.000000
c101 G 0.000000 0.000000
c102 G -21.000000 0.000000
c103 G 5.000000 0.000000
c104 L 9.000000 0.000000
c105 L 0.000000 0.000000
c106 L 0.000000 0.000000
c107 L 0.000000 0.000000
c108 L 0.000000 0.000000
c109 L 0.000000 0.000000
c110 G 0.000000 0.000000
c111 L 0.000000 0.000000
c112 G 0.000000 0.000000
c113 L 0.000000 0.000000
c114 G 0.000000 0.000000
c115 L 0.000000 0.000000
c116 G 0.000000 0.000000
c117 L 0.000000 0.000000
c118 G 0.000000 0.000000
c119 L 0.000000 0.000000
c120 G 0.000000 0.000000
c121 G -21.000000 0.000000
c122 G 0.000000 0.000000
c123 G -21.000000 0.000000
c124 G 0.000000 0.000000
c125 G -21.000000 0.000000
c126 G 0.000000 0.000000
c127 G -21.000000 0.000000
c128 G 0.000000 0.000000
c129 G -21.000000 0.000000
c130 G 0.000000 0.000000
c131 G -21.000000 0.000000
c132 G 0.000000 0.000000
c133 G -21.000000 0.000000
c134 G 0.000000 0.000000
c135 G -21.000000 0.000000
c136 G 0.000000 0.000000
c137 G -21.000000 0.000000
c138 G 0.000000 0.000000
c139 G -21.000000 0.000000
c140 L 2.000000 0.000000
c141 L 0.000000 0.000000
c142 L 0.000000 0.000000
c143 L 0.000000 0.000000
c144 L 0.000000 0.000000
c145 L 0.000000 0.000000
c146 G 0.000000 0.000000
c147 E 0.000000 0.000000
c148 G 0.000000 0.000000
c149 E 0.000000 0.000000
c150 G 0.000000 0.000000
c151 L 0.000000 0.000000
c152 G 0.000000 0.000000
c153 L 0.000000 0.000000
c154 G 0.000000 0.000000
c155 L 0.000000 0.000000
